track_name,album_name,artist_name,ms_played
Past Life,Currents,Tame Impala,228040
Mercy Mercy Me (The Ecology),What's Going On,Marvin Gaye,193573
Jeremy,Ten,Pearl Jam,318226
Feeling Myself,The Pinkprint - Deluxe,Nicki Minaj,237840
Drip (feat. Migos),Invasion of Privacy,Cardi B,262308
Be Careful (feat. Thundercat),Intimidated,KAYTRANADA,163013
Dreams,Dreams,Joshy Soul,234960
Lost,channel ORANGE,Frank Ocean,234093
I Follow You,Melody's Echo Chamber,Melody's Echo Chamber,68398
I Follow You,Melody's Echo Chamber,Melody's Echo Chamber,630
One More Year,The Slow Rush,Tame Impala,324013
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,204763
City Girls,Slime & B,Chris Brown,230253
Advantage,Advantage,MiLES.,205813
City Girls,Slime & B,Chris Brown,230253
Calling U Back,CINEMA,The Marías,199906
Texas Sun,Texas Sun,Khruangbin,252811
Rose-Colored Boy,After Laughter,Paramore,212853
A Heart Like Hers,Another One,Mac DeMarco,2296
Reminder,Starboy,The Weeknd,2670
Surprise,Surprise,Chlöe,155298
Saint Laurent Mask,"Huncho Jack, Jack Huncho",Huncho Jack,8438
Smooth Operator - Single Version,The Best of Sade,Sade,258693
MotorSport,Culture II,Migos,95413
Smooth Operator - Single Version,The Best of Sade,Sade,3754
MARLBORO CLUB,MARLBORO CLUB,PXRKX,60116
Friendly Pressure - Into The Sunshine Edit,Friendly Pressure (Sunship Remixes),Jhelisa,229760
Friendly Pressure - Into The Sunshine Mix,Is This Real,Jhelisa,191844
Good At,Tina Snow,Megan Thee Stallion,230646
Another life (feat. Rema),Heaven knows,PinkPantheress,172173
DEAD RIGHT NOW,MONTERO,Lil Nas X,596
Attracted to You,Attracted To You,PinkPantheress,66522
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,173754
GrooveTheory,CRASH,Kehlani,247729
More Than A Little Bit (feat. Tinashe),TIMELESS,KAYTRANADA,7829
Next 2 U,CRASH,Kehlani,74861
After Hours,CRASH,Kehlani,1068
Next 2 U,CRASH,Kehlani,127892
After Hours,CRASH,Kehlani,202414
What I Want,CRASH,Kehlani,227216
Crash,CRASH,Kehlani,156129
8,CRASH,Kehlani,150262
Sucia (feat. Jill Scott & Young Miko),CRASH,Kehlani,262261
Better Not,CRASH,Kehlani,164167
Tears (feat. Omah Lay),CRASH,Kehlani,213064
Vegas,CRASH,Kehlani,226356
Deep,CRASH,Kehlani,168622
Chapel,CRASH,Kehlani,237752
Lose My Wife,CRASH,Kehlani,166367
8,CRASH,Kehlani,150262
Tears (feat. Omah Lay),CRASH,Kehlani,213064
