track_name,album_name,artist_name,ms_played,date_listened,platform
Past Life,Currents,Tame Impala,228040,2024-06-21,ios
Mercy Mercy Me (The Ecology),What's Going On,Marvin Gaye,193573,2024-06-21,ios
Jeremy,Ten,Pearl Jam,318226,2024-06-21,ios
Feeling Myself,The Pinkprint - Deluxe,Nicki Minaj,237840,2024-06-21,ios
Drip (feat. Migos),Invasion of Privacy,Cardi B,262308,2024-06-21,ios
Be Careful (feat. Thundercat),Intimidated,KAYTRANADA,163013,2024-06-21,ios
Dreams,Dreams,Joshy Soul,234960,2024-06-21,ios
Lost,channel ORANGE,Frank Ocean,234093,2024-06-21,ios
I Follow You,Melody's Echo Chamber,Melody's Echo Chamber,68398,2024-06-21,ios
One More Year,The Slow Rush,Tame Impala,324013,2024-06-21,ios
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,204763,2024-06-21,ios
City Girls,Slime & B,Chris Brown,230253,2024-06-21,ios
Advantage,Advantage,MiLES.,205813,2024-06-21,ios
City Girls,Slime & B,Chris Brown,230253,2024-06-21,ios
Calling U Back,CINEMA,The Marías,199906,2024-06-21,ios
Texas Sun,Texas Sun,Khruangbin,252811,2024-06-21,ios
Rose-Colored Boy,After Laughter,Paramore,212853,2024-06-21,ios
Surprise,Surprise,Chlöe,155298,2024-06-21,ios
Smooth Operator - Single Version,The Best of Sade,Sade,258693,2024-06-21,ios
MotorSport,Culture II,Migos,95413,2024-06-22,ios
MARLBORO CLUB,MARLBORO CLUB,PXRKX,60116,2024-06-22,ios
Friendly Pressure - Into The Sunshine Edit,Friendly Pressure (Sunship Remixes),Jhelisa,229760,2024-06-22,ios
Friendly Pressure - Into The Sunshine Mix,Is This Real,Jhelisa,191844,2024-06-22,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-06-22,ios
Another life (feat. Rema),Heaven knows,PinkPantheress,172173,2024-06-22,ios
Attracted to You,Attracted To You,PinkPantheress,66522,2024-06-22,ios
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,173754,2024-06-22,ios
GrooveTheory,CRASH,Kehlani,247729,2024-06-23,ios
Next 2 U,CRASH,Kehlani,74861,2024-06-23,ios
Next 2 U,CRASH,Kehlani,127892,2024-06-23,ios
After Hours,CRASH,Kehlani,202414,2024-06-23,ios
What I Want,CRASH,Kehlani,227216,2024-06-23,ios
Crash,CRASH,Kehlani,156129,2024-06-23,ios
8,CRASH,Kehlani,150262,2024-06-23,ios
Sucia (feat. Jill Scott & Young Miko),CRASH,Kehlani,262261,2024-06-23,ios
Better Not,CRASH,Kehlani,164167,2024-06-23,ios
Tears (feat. Omah Lay),CRASH,Kehlani,213064,2024-06-24,ios
Vegas,CRASH,Kehlani,226356,2024-06-24,ios
Deep,CRASH,Kehlani,168622,2024-06-24,ios
Chapel,CRASH,Kehlani,237752,2024-06-24,ios
Lose My Wife,CRASH,Kehlani,166367,2024-06-24,ios
8,CRASH,Kehlani,150262,2024-06-24,ios
Tears (feat. Omah Lay),CRASH,Kehlani,213064,2024-06-24,ios
Sucia (feat. Jill Scott & Young Miko),CRASH,Kehlani,262261,2024-06-24,ios
Good At,Tina Snow,Megan Thee Stallion,230646,2024-06-24,ios
Hamptons,Submarine,The Marías,188400,2024-06-24,ios
Real Life,Submarine,The Marías,206973,2024-06-24,ios
Can You Blame Me (feat. Lucky Daye),It Was Good Until It Wasn't,Kehlani,183019,2024-06-24,ios
Nasty,Nasty,Tinashe,176027,2024-06-24,ios
Bouncin',333,Tinashe,175092,2024-06-24,ios
Let Me Down Slowly,333,Tinashe,185777,2024-06-24,ios
Me Pongo Loca,ORQUÍDEAS,Kali Uchis,177815,2024-06-24,ios
Friendly Pressure - Into The Sunshine Edit,Friendly Pressure (Sunship Remixes),Jhelisa,229760,2024-06-24,ios
